titre,resume,auteurs,date_publication,journal,mots_cles,maladie,source,lien,type_contenu,date_scraping
Pilot Study 1: Efficacy and Safety of Sublingual Dexmedetomidine (BXCL501) for the Treatment of Agitation in the Emergency Department,This is a single-arm pilot study to examine the impact of BXCL501 (sublingual film formulation of dexmedetomidine) administration on reducing the severity of undifferentiated acute agitation in patients presenting to the emergency department with underlying bipolar disorder or schizophrenia. This study is designed to evaluate BXCL501 for its FDA-approved indication -- treatment of agitation associated with bipolar disorder or schizophrenia -- applied in the emergency department setting.,Brigham and Women's Hospital,2023-09-01,Brigham and Women's Hospital,Agitation | Schizophrenia | Schizoaffective Disorder | Schizophreniform Disorders | Bipolar Disorder | neurological diseases | ClinicalTrials,neurological diseases,ClinicalTrials,https://clinicaltrials.gov/study/NCT05974527,treatment,2026-06-01 18:41:31.289
Graphene field-effect transistor based multiplexed sensing platform for simultaneous detection of multiple Alzheimer's disease biomarkers.,Simultaneous detection of multiple biomarkers for one disease using a single drop of body fluid is challenging yet critical to confirm symptoms in the early stage. This study presents the development of a graphene field-effect transistor (GFET)-based multiplexed sensing platform designed for overcoming this obstacle. The platform utilizes a hexamethyldisilazane (HMDS) blocking layer as a hydrophobic treatment to enable recognition element (probe/aptamer) modifications within a small chip area (3 × 3 mm,Guo Biyu | Wang Jiangyang | Lou Feige | Yuan Baowei | Chen Zhibo | Tang Chengjie | Chen Weiao | Yi Fangxuan | Jiang Jingjing | Hu Guangxi | Cong Chunxiao | Lu Ye,2026-May,RSC advances,alzheimer | PubMed,alzheimer,PubMed,https://pubmed.ncbi.nlm.nih.gov/42111521/,basic_research,2026-06-01 19:12:52.931
[A glimpse on the history of diabetes mellitus],604-605,"Ahmed, Awad Mohamed",1999-12-31,WHO,"History, 20th Century | History, Ancient | History, Medieval | Insulin | diabetes | WHO",diabetes,WHO,https://iris.who.int/handle/10665/118749,basic_research,2026-06-01 19:29:34.329
Examination of Ventavis (Iloprost) Inhalation Behavior Using the I-Neb AAD System in Patients With Pulmonary Arterial Hypertension When Switching the Iloprost Nebulizer Solution for Inhalation From 10 μg/mL (V10) to 20 μg/mL (V20),The aim of this study is to examine inhalation behavior in patients enrolled in the German Ventavis patient support program Ventaplus when these patients are switched from Ventavis (Iloprost) 10 μg/mL to Ventavis (Iloprost) 20 μg/mL formulation.,Bayer,2016-09-15,Bayer,"Hypertension, Pulmonary | respiratory diseases | ClinicalTrials",respiratory diseases,ClinicalTrials,https://clinicaltrials.gov/study/NCT02826252,basic_research,2026-06-01 18:41:52.275
Motion Sickness,"Motion sickness is a common problem in people traveling by car, train, airplanes, and especially boats. Anyone can get it, but it is more common in children, pregnant women, and people taking certain medicines. Motion sickness can start suddenly, with a queasy feeling and cold sweats. It can then lead to dizziness and nausea and vomiting. Your brain senses movement by getting signals from your inner ears, eyes , muscles, and joints. When it gets signals that do not match, you can get motion sickness . For example, if you are reading on your phone while riding a bus, your eyes are focused on something that is not moving, but your inner ear senses motion. Where you sit can make a difference. The front seat of a car, forward cars of a train, upper deck on a boat or wing seats in a plane may give you a smoother ride. Looking out into the distance - instead of trying to read or look at something in the vehicle - can also help. Centers for Disease Control and Prevention",MedlinePlus Editorial Team,2026-06-01,MedlinePlus,Motion Sickness | eye diseases | MedlinePlus,eye diseases,MedlinePlus,https://medlineplus.gov/motionsickness.html,basic_research,2026-06-01 18:56:08.573
Re-Evaluating the J-GESS Score: A 5-Year Unified Risk Prediction Model for Gastric Cancer and Esophageal Squamous Cell Carcinoma.,Re-Evaluating the J-GESS Score: A 5-Year Unified Risk Prediction Model for Gastric Cancer and Esophageal Squamous Cell Carcinoma.,Abedeen Zain Ul | Jan Abdullah | Alam Iqra | Khan Masoom | Ghani Muhammad Zeeshan,2026-May,Journal of gastroenterology and hepatology,cancer | PubMed,cancer,PubMed,https://pubmed.ncbi.nlm.nih.gov/42216255/,basic_research,2026-06-01 19:10:27.570
Evaluation of [123I] MNI-308 and SPECT as a Marker of Beta-amyloid Protein Deposition in AD Subjects Compared to HC,"The main objectives of this proposal are as follows: To assess the dynamic uptake and washout of 123-I MNI-308, a potential imaging biomarker for β-amyloid burden in brain, using single photon emission computed tomography (SPECT) in similarly aged Alzheimer's (AD) subjects and healthy controls To perform blood metabolite characterization of 123-I MNI-308 in healthy and AD subjects to determine the metabolic fate and nature of metabolites in assessment of 123-I MNI-308 as a single photon computed tomography (SPECT) brain imaging agent Evaluate the test/retest reproducibility of 123-I MNI-308 and SPECT in AD subjects and healthy control",Molecular NeuroImaging,2007-10,Molecular NeuroImaging,Alzheimer Disease | alzheimer | ClinicalTrials,alzheimer,ClinicalTrials,https://clinicaltrials.gov/study/NCT00544453,diagnosis,2026-06-01 18:39:45.816
Visual Information Restoration and Rehabilitation Via Sensory Substitution Technology in Children,"The BrainPort vision device is a visual prosthetic designed for those who are blind. It enables perception of visual information using the tongue and camera system as a paired substitute for the eye. Visual information is collected from a video camera and translated into a gentle vibration that is presented to the subject on the tongue. With training users perceive shape, size, location and motion of objects in their environment. It is a functional, non-surgical device developed to demonstrate as an aid to the visually impaired. The aim of this proposal is to evaluate a non-surgical visual prosthetic (BrainPort vision device) that enables the blind to appreciate their immediate surroundings and determine the way the brain interprets the information. Our goal is to determine if the device can be used in a pediatric population by measuring the subjects' improvement over baseline in any of the following areas: light detection, light localization, movement perception, and standardized object recognition tasks after use of the BrainPort.",Ellen Mitchell,2014-01,Ellen Mitchell,Blindness | neurological diseases | ClinicalTrials,neurological diseases,ClinicalTrials,https://clinicaltrials.gov/study/NCT03002597,basic_research,2026-06-01 18:41:26.463
Integrative Multiomics Analysis Reveals Tumor-Associated Macrophage Heterogeneity and a Prognostic Signature in Gastric Cancer.,"Gastric cancer (GC) is characterized by a complex tumor microenvironment (TME) with substantial cellular heterogeneity. Tumor-associated macrophages (TAMs) represent the most abundant immune cell population in the TME and exhibit remarkable functional plasticity. This study integrated single-cell RNA-sequencing (scRNA-seq) data, bulk transcriptomics, and spatial transcriptomics to systematically characterize TAM heterogeneity and identify prognostic biomarkers in GC. ScRNA-seq analysis revealed nine major cell types (T cells, plasma cells, epithelial cells, fibroblasts, macrophages, endothelial cells, B cells, smooth muscle cells, and mast cells) and distinct macrophage subpopulations with tumor-specific expansion patterns. High-dimensional weighted gene coexpression network analysis identified coexpression modules enriched in GC-associated macrophages. Machine learning algorithms were employed to construct a prognostic signature, and the CoxBoost model demonstrated superior predictive performance across multiple cohorts. The seven-gene signature, including UPP1, VCAN, ELL2, ABCA1, TUBA1A, MX2, and TSPO, showed robust prognostic value in survival prediction. Spatial transcriptomic analysis further revealed distinct metabolic profiles and extensive cellular interaction networks mediated by UPP1-expressing TAMs. These findings provide a comprehensive atlas of TAM heterogeneity and establish novel prognostic biomarkers with potential therapeutic implications in GC.",Li Zhaoyan | Xu Ming | Huang Yuqing | Huang Chen | Wu Yuan | Lu Jiafeng | Zhang Guangtao | Zheng Lan,2026-,Human mutation,gastric cancer | machine learning | single-cell RNA-sequencing | spatial transcriptomics | tumor-associated macrophages | digestive diseases | PubMed,digestive diseases,PubMed,https://pubmed.ncbi.nlm.nih.gov/42211756/,bioinformatics,2026-06-01 19:18:36.445
"Molecular surveillance and genomic characterization of enterovirus D68 in southern Portugal, .","Enterovirus D68 (EV-D68) is a re-emerging respiratory pathogen that is increasingly associated with severe respiratory disease and occasional neurological complications, yet its circulation in Portugal remains poorly documented. In the present study, we investigated the presence of EV-D68 in respiratory samples collected in southern Portugal (Algarve region) from October 2024 to February 2025. Screening of 150 respiratory samples from patients (115 from children and 35 from adults), all previously positive for rhinovirus/enterovirus, revealed eight EV-D68-positive cases, corresponding to a detection rate of 5.44%, spanning a broad age range from infancy to the elderly. Clinical manifestations ranged from mild respiratory illness to severe conditions, including pneumonia and acute respiratory distress syndrome. Neurological manifestations, including complex febrile seizures and encephalomyelitis, were also observed in EV-D68-positive patients. Some cases involved coinfections, while others presented with EV-D68 as the sole detected respiratory pathogen. Genomic characterization from one isolate revealed a VP1 fragment belonging to clade B3, and a complete genome from another isolate clustered within clade A2. Phylogenetic analysis confirmed clustering with contemporary European isolates. These findings provide preliminary evidence of EV-D68 detection in southern Portugal and document the presence of clades A2 and B3 among the characterized samples. The results illustrate the heterogeneous clinical presentations observed in affected patients and highlight the value of continued molecular monitoring and genomic characterization of EV-D68.",Santos-Silva Sérgio | Moreira Guilherme | Palma André | Rodrigues Soraia | Simões Margarida | Guerreiro Raquel | Nascimento Maria S J | Mesquita João R,2026-May,Archives of virology,"Humans | Portugal | Enterovirus D, Human | Enterovirus Infections | Phylogeny | Child, Preschool | Child | Adult | Male | Female | Infant | Adolescent | Genome, Viral | Middle Aged | Aged | Respiratory Tract Infections | Young Adult | Genomics | neurological diseases | PubMed",neurological diseases,PubMed,https://pubmed.ncbi.nlm.nih.gov/42168427/,bioinformatics,2026-06-01 19:14:39.537
The enhanced recovery after surgery (ERAS) pathway for patients undergoing major elective open colorectal surgery: a meta-analysis of randomized controlled trials.,"Background & aims The aim of the Enhanced Recovery After Surgery (ERAS) pathway is to attenuate the stress response to surgery and enable rapid recovery. The objective of this meta-analysis was to study the differences in outcomes in patients undergoing major elective open colorectal surgery within an ERAS pathway and those treated with conventional perioperative care. Methods Medline, Embase and Cochrane database searches were performed for relevant studies published between January 1966 and November 2009. All randomized controlled trials comparing ERAS with conventional perioperative care were selected. The outcome measures studied were length of hospital stay, complication rates, readmission rates and mortality. Results Six randomized controlled trials with 452 patients were included. The number of individual ERAS elements used ranged from 4 to 12, with a mean of 9. The length of hospital stay [weighted mean difference (95% confidence interval): - , -1.85)] and complication rates [relative risk (95% confidence interval): , 0.64)] were significantly reduced in the enhanced recovery group. There was no statistically significant difference in readmission and mortality rates. Conclusion ERAS pathways appear to reduce the length of stay and complication rates after major elective open colorectal surgery without compromising patient safety.",Krishna K Varadhan | Keith R Neal | Cornelius H C Dejong | Kenneth C H Fearon | Olle Ljungqvist | Dileep N Lobo,2010-01-29,Unknown,digestive diseases | Europe PMC,digestive diseases,Europe PMC,https://pubmed.ncbi.nlm.nih.gov/20116145/,epidemiology,2026-06-01 18:49:48.939
A Study of BMS-986490 With or Without Bevacizumab in Advanced Solid Tumors,This is a study of BMS-986490 as a monotherapy and in combination with bevacizumab in participants with select advanced solid tumors known to express CEACAM5.,BMS Clinical Trials Contact Center | First line of the email MUST contain the NCT# and Site #.,2025-02-12,Bristol-Myers Squibb,Advanced Solid Tumors | digestive diseases | ClinicalTrials,digestive diseases,ClinicalTrials,https://clinicaltrials.gov/study/NCT06730750,treatment,2026-06-01 18:43:05.152
Investigation of the BrioVAD System for the Treatment of Left Ventricular Heart Failure,"The goal of this study is to evaluate the safety and efficacy of the BrioVAD System by demonstrating non-inferiority to the HeartMate 3 Left Ventricular Assist System when used for the treatment of advanced, refractory, left ventricular heart failure.",Pranesh Thirukkonda | Lynda McMahon,2024-10-28,"BrioHealth Solutions, Inc.",Cardiovascular Diseases | Heart Diseases | Heart Failure | heart disease | ClinicalTrials,heart disease,ClinicalTrials,https://clinicaltrials.gov/study/NCT06310031,basic_research,2026-06-01 18:40:59.847
Interactions between the microbiota and pathogenic bacteria in the gut.,"The microbiome has an important role in human health. Changes in the microbiota can confer resistance to or promote infection by pathogenic bacteria. Antibiotics have a profound impact on the microbiota that alters the nutritional landscape of the gut and can lead to the expansion of pathogenic populations. Pathogenic bacteria exploit microbiota-derived sources of carbon and nitrogen as nutrients and regulatory signals to promote their own growth and virulence. By eliciting inflammation, these bacteria alter the intestinal environment and use unique systems for respiration and metal acquisition to drive their expansion. Unravelling the interactions between the microbiota, the host and pathogenic bacteria will produce strategies for manipulating the microbiota against infectious diseases.",Andreas J Bäumler | Vanessa Sperandio,2016-07-01,Unknown,digestive diseases | Europe PMC,digestive diseases,Europe PMC,https://pubmed.ncbi.nlm.nih.gov/27383983/,basic_research,2026-06-01 18:49:44.655
